Index,Word List,N_Ltr,N_PG,NMorph,NSyll,POS,Occurrences,Freq_SUBTLEXUS,BigramF_Avg_C_Log,OLD20,BiphonP_Un,PLD20,Sem_N_D,Phonographic_N,PG_Prob_Mean,PG_Prob_Min,GP_Prob_Mean,GP_Prob_Min,GP_Freq_Mean,GP_Freq_Min,P_Freq_Mean,P_Freq_Min,G_Freq_Mean,G_Freq_Min,PG1,PG2,PG3,PG4,PG5,PG6,PG7,PG8,PG9,PG10,PG11,PG12,PG13,PG14,PG15,OR_Prob_Mean,OR_Prob_Min,OR_Freq_Mean,OR_Freq_Min,Onset1,Rime1,Onset2,Rime2,Onset3,Rime3,Onset4,Rime4,Onset5,Rime5,Onset6,Rime6
4485,larger,6,6,2,2,JJ|NN,1,2.622214023,1,1.85,1,2.3,0.67849594,1,0.775383333333333,0.4466,0.654333333333333,0.1878,2.78766666666667,2.248,2.9176,2.444,3.05258333333333,2.6675,l+l,ɑ+a,ɹ+r,dʒ+g,ɚ+e,ɹ+r,,,,,,,,,,0.808,0.4293,2.5046,2.248,l+l,ɑɹ+ar,dʒ+g,ɚɹ+er,,,,,,,,
1145,button,6,5,1,2,NN|VB,1,3.15896526,1,1.9,1,1.7,0.59013152,4,0.61812,0.1212,0.74402,0.3518,2.69326,2.29,3.02712,2.4914,2.87042,2.29,b+b,ʌ+u,t+tt,ə+o,n+n,,,,,,,,,,,0.818675,0.3584,2.5215,2.2718,b+b,ʌ+u,t+tt,ən+on,,,,,,,,
2514,duck,4,3,1,1,NN|VB,1,3.101747074,1,1.35,1,1,0.59898198,12,0.6818,0.2372,0.8295,0.4885,2.563,2.1004,2.80116666666667,2.7226,2.66656666666667,2.1004,d+d,ʌ+u,k+ck,,,,,,,,,,,,,1,1,2.0619,1.301,d+d,ʌk+uck,,,,,,,,,,
4417,knee,4,2,1,1,NN|VB,1,2.875061263,1,1.8,1,1,0.57636207,1,0.0762,0.0373,1,1,1.57085,1.5185,2.7435,2.4456,1.57085,1.5185,n+kn,i+ee,,,,,,,,,,,,,,1,1,1.57085,1.5185,n+kn,i+ee,,,,,,,,,,
7689,squint,6,6,1,1,VB,1,1.716003344,1,1.85,1,1.95,0.22742066,0,0.68745,0.0547,0.811883333333333,0.1398,2.6907,1.4472,2.97988333333333,2.4099,2.8537,1.4472,s+s,k+q,w+u,ɪ+i,n+n,t+t,,,,,,,,,,0.96875,0.9375,1.301,1.2041,skw+squ,ɪnt+int,,,,,,,,,,
1307,ceiling,7,5,1,2,NN,1,2.630427875,1,1.85,1,1.05,0.57965738,0,0.50418,0.009,0.68404,0.0679,2.3602,0.9542,3.0806,2.8663,2.66006,1.2041,s+c,i+ei,l+l,ɪ+i,ŋ+ng,,,,,,,,,,,0.64725,0.089,2.14945,1,s+c,i+ei,l+l,ɪŋ+ing,,,,,,,,
6533,resolve,7,6,2,2,VB|NN,1,2.394451681,1,2.05,1,2.2,0.59627861,1,0.6767,0.0226,0.583633333333333,0.0621,2.3971,1.301,2.76443333333333,2.2041,2.81371666666667,2.1931,ɹ+r,i+e,z+s,ɑ+o_e,l+l,v+v,,,,,,,,,,0.6596,0.2192,2.120225,0.6021,ɹ+r,i+e,z+s,ɑlv+o_elv,,,,,,,,
2217,deny,4,4,1,2,VB,1,3.038222638,1,1.75,1,1.85,0.5798043,1,0.662475,0.1794,0.5522,0.0475,2.4694,1.6532,2.7259,1.8808,2.993725,2.8802,d+d,ə+e,n+n,aɪ+y,,,,,,,,,,,,0.549525,0.0475,2.4586,1.6532,d+d,ə+e,n+n,aɪ+y,,,,,,,,
8107,tag,3,3,1,1,NN|VB,1,2.850646235,1,1,1,1,0.60076612,18,0.924733333333333,0.8384,0.622133333333333,0.4029,2.55826666666667,1.9243,2.593,2,2.80006666666667,2.316,t+t,æ+a,g+g,,,,,,,,,,,,,1,1,1.9763,1.3222,t+t,æg+ag,,,,,,,,,,
5891,pitcher,7,5,2,2,NN,1,2.220108088,1,1.85,1,1.7,0.57346141,2,0.68914,0.1667,0.77838,0.3768,2.73054,1.5315,2.96156,2.2989,2.87284,1.5315,p+p,ɪ+i,tʃ+tch,ɚ+e,ɹ+r,,,,,,,,,,,0.877075,0.5186,2.543175,1.5315,p+p,ɪ+i,tʃ+tch,ɚɹ+er,,,,,,,,
7112,shill,5,3,NaN,1,JJ|NN,1,1.176091259,1,1.5,1,1,0.16768014,4,0.566533333333333,0.1263,0.939666666666667,0.819,2.5143,2.0755,2.88346666666667,2.3139,2.54316666666667,2.0755,ʃ+sh,ɪ+i,l+ll,,,,,,,,,,,,,1,1,1.8531,1.4914,ʃ+sh,ɪl+ill,,,,,,,,,,
1528,clarinet,8,8,1,3,NN,1,1.908485019,1,2.95,1,3.65,0.5727458,0,0.6894375,0.1734,0.6835875,0.084,2.808975,2.1303,3.03445,2.8432,3.1086625,2.7332,k+c,l+l,ɛ+a,ɹ+r,ə+i,n+n,ɛ+e,t+t,,,,,,,,0.584633333333333,0.0741,2.32345,1.4472,kl+cl,ɛ+a,ɹ+r,ə+i,n+n,ɛt+et,,,,,,
4183,interior,8,8,2,3,JJ|NN,1,2.428134794,1,2.4,1,2.6,0.65251732,2,0.61045,0.0652,0.655875,0.1184,2.55585,1,2.8840625,2.143,2.864725,1.8865,ɪ+i,n+n,t+t,ɪ+e,ɹ+r,i+i,ɚ+o,ɹ+r,,,,,,,,0.673883333333333,0.133,2.54815,2.0128,,ɪn+in,t+t,ɪ+e,ɹ+r,i+i,,ɚɹ+or,,,,
984,breed,5,4,1,1,NN|VB,1,2.51054501,1,1.55,1,1,0.59570301,6,0.7705,0.2754,0.95865,0.8418,2.882525,2.1761,3.0452,2.734,2.901875,2.2504,b+b,ɹ+r,i+ee,d+d,,,,,,,,,,,,1,1,1.7641,1.3979,bɹ+br,id+eed,,,,,,,,,,
8262,theme,5,3,1,1,NN,1,2.851869601,1,1.7,1,1.45,0.66182345,0,0.658366666666667,0.0518,0.6422,0.125,1.9893,1.4624,2.4247,2.0086,2.31763333333333,2.1038,θ+th,i+e_e,m+m,,,,,,,,,,,,,0.86415,0.7283,1.26575,0.699,θ+th,im+e_em,,,,,,,,,,
5506,operate,7,6,2,3,VB,1,2.834420704,1,1.9,1,2.75,0.64851153,0,0.583483333333333,0.1794,0.6688,0.1648,2.54418333333333,1.7404,2.83155,2.1492,2.80691666666667,2.2945,ɑ+o,p+p,ə+e,ɹ+r,eɪ+a_e,t+t,,,,,,,,,,0.63798,0.1542,2.47722,2.0128,,ɑ+o,p+p,ə+e,ɹ+r,eɪt+a_et,,,,,,
6703,rubbish,7,5,1,2,NN|VB,1,2.456366033,1,2.85,1,1.9,0.41650626,0,0.67476,0.0792,0.83746,0.3683,2.4327,1.6628,2.72072,2.0755,2.53654,1.6628,ɹ+r,ʌ+u,b+bb,ɪ+i,ʃ+sh,,,,,,,,,,,0.8396,0.3584,2.14355,1.6435,ɹ+r,ʌ+u,b+bb,ɪʃ+ish,,,,,,,,
1079,bulldozer,9,8,3,3,NN,1,1.826074803,1,3.7,1,3.9,0.35922858,1,0.612425,0.1061,0.6834125,0.0374,2.40995,1.4624,2.7408,2.1399,2.723775,1.4624,b+b,ʊ+u,l+ll,d+d,oʊ+o,z+z,ɚ+e,ɹ+r,,,,,,,,0.819133333333333,0.2722,2.27231666666667,0.8451,b+b,ʊl+ull,d+d,oʊ+o,z+z,ɚɹ+er,,,,,,
4244,jam,3,3,1,1,NN|VB,1,2.839478047,1,1.2,1,1.4,0.59928411,13,0.876933333333333,0.7635,0.817566666666667,0.4635,2.57736666666667,2.2672,2.6361,2.3838,2.69013333333333,2.2718,dʒ+j,æ+a,m+m,,,,,,,,,,,,,0.90635,0.8235,1.8648,1.4624,dʒ+j,æm+am,,,,,,,,,,
8771,valet,5,4,1,2,NN,1,2.421603927,1,1.95,1,1.8,0.43334672,0,0.715575,0.1053,0.8395,0.358,2.265275,1.1139,2.53205,2.0607,2.376675,1.1139,v+v,æ+a,l+l,eɪ+et,,,,,,,,,,,,0.608025,0.1143,2.28425,1.1139,v+v,æ+a,l+l,eɪ+et,,,,,,,,
6015,pooch,5,3,1,1,NN,1,1.826074803,1,1.7,1,1.7,0.22731191,5,0.706633333333333,0.4349,0.802066666666667,0.5931,2.35283333333333,1.9445,2.527,2.1072,2.45766666666667,2.0334,p+p,u+oo,tʃ+ch,,,,,,,,,,,,,0.875,0.75,1.70005,0.6021,p+p,utʃ+ooch,,,,,,,,,,
